questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
MS-035,stateUnique,MS,"What is Mississippi law regarding school buses?","Drivers must stop only when traveling on same side as bus","Stop in both directions on two-lane roads for buses","Drivers should slow to 20 mph but stopping not required","Stop only when the bus driver activates hand signals",B
MT-018,cellPhone,MT,"Are there local Montana jurisdictions with stricter phone laws?","No the state law is uniform throughout all of Montana","Yes some cities have enacted hands-free ordinances","Only the city of Billings has stricter phone laws","Only resort areas have stricter cell phone laws",B
NE-013,cellPhone,NE,"What is Nebraska cell phone law for permit and POP holders?","Hands-free devices are required for permit and POP holders","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to permit holders","Only texting is banned for permit and POP holders",B
NV-013,cellPhone,NV,"What is Nevada cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for Nevada drivers under 18",B
NV-036,stateUnique,NV,"Are right turns on red permitted in Nevada?","Right turns on red are never permitted anywhere in Nevada","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Las Vegas","Right turns on red are only permitted with a green arrow",B
NH-013,cellPhone,NH,"What is New Hampshire cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for New Hampshire drivers under 18",B
NJ-013,cellPhone,NJ,"What is New Jersey cell phone law for permit and probationary drivers?","Hands-free devices are required for permit holders","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to permit holders","Only texting is banned for permit and probationary drivers",B
NM-012,gdlLicensing,NM,"What driving log must New Mexico teens maintain?","No driving log is required to be maintained in New Mexico","50-hour practice log certified by parent is required","A 10-hour log is required but no certification needed","Only instructor hours must be logged by New Mexico teens",B
NM-035,stateUnique,NM,"What is New Mexico law regarding school buses?","Drivers must stop only when traveling on same side as bus","Stop in both directions on two-lane roads for buses","Drivers should slow to 20 mph but stopping not required","Stop only when the bus driver activates hand signals",B
NY-007,gdlLicensing,NY,"How many passengers can a New York junior driver carry?","No passenger limits apply once the junior license is issued","Number of passengers limited by available seat belts","A maximum of 1 passenger of any age may ride in vehicle","Only immediate family members may ride during junior period",B
NY-013,cellPhone,NY,"What is New York cell phone law for permit and junior license holders?","Hands-free devices are required for permit holders","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to permit holders","Only texting is banned for permit and junior license holders",B
NC-013,cellPhone,NC,"What is North Carolina cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for North Carolina drivers under 18",B
NC-038,stateUnique,NC,"What is unique about North Carolina traffic courts?","North Carolina uses standard traffic courts like other states","No right to jury trial for most traffic offense cases","Jury trials are always available for traffic offenses","Federal court handles traffic offenses in North Carolina",B
ND-022,duiStateLaws,ND,"What happens if you refuse a BAC test in North Dakota?","A written warning is issued with no immediate consequences","180-day to 3-year license suspension for test refusal","A 30-day administrative suspension is applied for refusal","Refusal is treated the same as passing the test",B
OH-005,gdlLicensing,OH,"What are the nighttime restrictions for Ohio probationary drivers?","Curfew is from 10pm to 5am for probationary drivers","Midnight to 6am curfew applies for the first year","Curfew is from 11pm to 5am for probationary drivers","Curfew is from 9pm to 6am for probationary drivers",B
OH-013,cellPhone,OH,"What is Ohio cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for Ohio drivers under age 18",B
OR-005,gdlLicensing,OR,"What are the nighttime restrictions for Oregon provisional drivers?","Curfew is from 10pm to 5am for provisional drivers","Midnight to 5am curfew applies for the first year","Curfew is from 11pm to 5am for provisional drivers","Curfew is from 9pm to 6am for provisional drivers",B
PA-028,insurance,PA,"What are Pennsylvania's insurance coverage options?","Only standard coverage is available in Pennsylvania","Full tort or limited tort options are available","Only liability coverage is available in Pennsylvania","Only no-fault coverage is available in Pennsylvania",B
RI-013,cellPhone,RI,"What is Rhode Island cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for Rhode Island drivers under 18",B
RI-022,duiStateLaws,RI,"What happens if you refuse a BAC test in Rhode Island?","A written warning is issued with no immediate consequences","6-month to 1-year license suspension for test refusal","A 30-day administrative suspension is applied for refusal","Refusal is treated the same as passing the test",B
SD-017,cellPhone,SD,"Does South Dakota have local areas with stricter phone laws?","No the state law is uniform throughout South Dakota","Yes Sioux Falls has enacted a hands-free requirement","Only the city of Rapid City has stricter phone laws","Stricter laws only apply in designated school zones",B
TN-013,cellPhone,TN,"What is Tennessee cell phone law for permit and intermediate drivers?","Hands-free devices are required for permit holders","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to permit holders","Only texting is banned for permit and intermediate drivers",B
TN-036,stateUnique,TN,"Are right turns on red permitted in Tennessee?","Right turns on red are never permitted in Tennessee","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Nashville","Right turns on red are only permitted with a green arrow",B
TX-013,cellPhone,TX,"What is Texas cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for Texas drivers under age 18",B
UT-013,cellPhone,UT,"What is Utah cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for Utah drivers under age 18",B
VT-013,cellPhone,VT,"What is Vermont cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for Vermont drivers under age 18",B
VA-013,cellPhone,VA,"What is Virginia cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for Virginia drivers under age 18",B
VA-016,cellPhone,VA,"What are the penalties for cell phone violations in Virginia?","Violations result in a flat 25 dollar fine for all offenses","125 dollars for first offense and 250 for subsequent","Violations result in a flat 50 dollar fine for all offenses","First offense results in a written warning with no fine",B
WA-013,cellPhone,WA,"What is Washington cell phone law for permit and intermediate drivers?","Hands-free devices are required for permit holders","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to permit holders","Only texting is banned for permit and intermediate drivers",B
WV-013,cellPhone,WV,"What is West Virginia cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for West Virginia drivers under 18",B
WI-013,cellPhone,WI,"What is Wisconsin cell phone law for permit and probationary drivers?","Hands-free devices are required for permit holders","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to permit holders","Only texting is banned for permit and probationary drivers",B
WI-036,stateUnique,WI,"Are right turns on red permitted in Wisconsin?","Right turns on red are never permitted in Wisconsin","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Milwaukee","Right turns on red are only permitted with a green arrow",B
U-096,safeDriving,ALL,"What should you do if a tire blows out?","Brake hard immediately when a tire blows out on highway","Turn sharply to get off the road as quickly as possible","Grip wheel firmly and ease off gas gradually to slow","Speed up briefly to maintain control of the vehicle",C
AL-015,cellPhone,AL,"What is the penalty for a first hands-free law violation in Alabama?","A written warning is issued for first violation in Alabama","A 25 dollar fine is issued for first violation","A 50 dollar fine and one license point for first violation","A 100 dollar fine is issued for first violation",C
AL-029,insurance,AL,"What happens if you are caught driving without insurance in Alabama?","A written warning is issued for the first offense only","License and registration suspension plus fines may apply","Only a small fine is the penalty for driving uninsured","Points are added to your license but no suspension",B
AR-038,stateUnique,AR,"Are fines doubled for cell phone violations that cause crashes in Arkansas?","No the same fine applies regardless of crash involvement","Yes fines are doubled if a collision occurs from violation","Fines are only doubled for repeat offenders in Arkansas","Fines are only doubled in designated school zones",B
CO-032,stateUnique,CO,"Can recreational marijuana affect your ability to legally drive in Colorado?","No if you use it legally you can still drive without issue","Yes impairment from any source can lead to DUI charges","Only if you are over the legal THC limit while driving","Only medical marijuana users face driving restrictions",B
CT-014,cellPhone,CT,"What cell phone rule applies to adult drivers 18 and older in Connecticut?","No restrictions on phone use exist for adult drivers","Handheld phones banned but hands-free use is allowed","All phone use is banned for adult drivers in Connecticut","Only texting is banned for adult drivers in Connecticut",B
DE-002,gdlLicensing,DE,"What must you complete before applying for a Delaware learner's permit?","Nothing special is required before applying for permit","State-approved driver education course must be completed","50 hours of supervised practice must be completed first","Only an online test must be completed before applying",B
HI-018,cellPhone,HI,"Are there increased penalties for cell phone use in certain Hawaii zones?","No the same penalties apply everywhere in Hawaii","Yes in school zones and construction zones penalties increase","Increased penalties only apply in designated school zones","Increased penalties only apply on Hawaii highways",B
ID-039,stateUnique,ID,"What is required when parking on a hill in Idaho?","Nothing special is required when parking on a hill","Turn wheels appropriately to prevent vehicle from rolling","Always use the emergency brake when parking on hills","Set the transmission in park and leave without turning wheels",B
IA-035,stateUnique,IA,"What is Iowa's law regarding school bus stops?","Drivers must stop only when on same side as stopped bus","Stop in both directions unless on a divided highway","Drivers should slow to 15 mph but stopping not required","Stop only when children are visible near the stopped bus",B
KY-036,stateUnique,KY,"Are right turns on red permitted in Kentucky?","Right turns on red are never permitted in Kentucky","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Louisville","Right turns on red are only permitted with a green arrow",B
LA-008,gdlLicensing,LA,"Who must supervise a Louisiana permit holder?","Any driver with a valid license may supervise in Louisiana","Licensed parent guardian or adult 21 or older required","A licensed driver 18 or older must supervise in Louisiana","Any adult family member may supervise in Louisiana",B
ME-014,cellPhone,ME,"What is Maine cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phones are banned for all drivers in Maine","Only texting is banned for all drivers in Maine","Cell phone restrictions only apply in school zones",B
ME-033,stateUnique,ME,"What is the maximum speed limit on Maine interstate highways?","The maximum speed limit is 65 mph on Maine interstates","70 mph is permitted on sections of Maine Turnpike","The maximum speed limit is 75 mph on Maine interstates","The maximum speed limit is 60 mph on Maine interstates",B
MA-014,cellPhone,MA,"What is Massachusetts cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phones are banned for all drivers in state","Only texting is banned for all drivers in Massachusetts","Cell phone restrictions only apply in school zones",B
NE-014,cellPhone,NE,"What is Nebraska cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phones are banned for all drivers in Nebraska","Only texting is banned for all drivers in Nebraska","Cell phone restrictions only apply in school zones",B
NH-014,cellPhone,NH,"What is New Hampshire cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phones are banned for all drivers in state","Only texting is banned for all drivers in New Hampshire","Cell phone restrictions only apply in school zones",B
NM-014,cellPhone,NM,"What is New Mexico cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phones are banned for all drivers in state","Only texting is banned for all drivers in New Mexico","Cell phone restrictions only apply in school zones",B
NY-014,cellPhone,NY,"What is New York cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phones are banned for all drivers in New York","Only texting is banned for all drivers in New York","Cell phone restrictions only apply in school zones",B
OH-006,gdlLicensing,OH,"How many passengers can an Ohio probationary driver carry?","No passenger limits apply once probationary license issued","1 non-family passenger for the first year of driving","A maximum of 2 passengers of any age may ride in vehicle","Only immediate family members may ride during probation",B
OK-017,cellPhone,OK,"Does Oklahoma ban include reading texts?","No the ban only applies to sending text messages","Yes both reading and writing texts are prohibited","The ban only applies at intersections in Oklahoma","The ban only applies while the vehicle is moving",B
OR-014,cellPhone,OR,"What is Oregon cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phones are banned for all drivers in Oregon","Only texting is banned for all drivers in Oregon","Cell phone restrictions only apply in school zones",B
RI-014,cellPhone,RI,"What is Rhode Island cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phones are banned for all drivers in state","Only texting is banned for all drivers in Rhode Island","Cell phone restrictions only apply in school zones",B
RI-036,stateUnique,RI,"Are right turns on red permitted in Rhode Island?","Right turns on red are never permitted in Rhode Island","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Providence","Right turns on red are only permitted with a green arrow",B
SC-036,stateUnique,SC,"Are right turns on red permitted in South Carolina?","Right turns on red are never permitted in South Carolina","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Charleston","Right turns on red are only permitted with a green arrow",B
