questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
SC-034,stateUnique,SC,"What should South Carolina drivers know about hurricanes?","Hurricane season affects only the immediate beachfront communities along the coast","Hurricane evacuations and emergency procedures are important for coastal areas","Inland areas of South Carolina remain completely unaffected by any hurricane weather","Hurricane preparedness is handled entirely by local emergency management officials",B
WV-034,stateUnique,WV,"What should West Virginia drivers know about mountain roads?","Mountain terrain is limited to the eastern panhandle region near the Virginia border","Steep grades curves and weather changes are common in Appalachian terrain","Road conditions in mountainous areas are similar to flat terrain found elsewhere","Tire chains are required by law on all mountain roads from October through April",B
WY-037,stateUnique,WY,"What should Wyoming drivers watch for in rural areas?","Rural roads are well-maintained with minimal wildlife activity throughout the year","Wildlife including elk deer antelope and moose plus open range livestock","Wildlife concerns are only present near Yellowstone and Grand Teton park areas","Mountain regions have wildlife but the plains and basin areas are generally clear",B
ME-040,stateUnique,ME,"What should Maine drivers know about coastal fog?","Coastal fog is rare in Maine and typically burns off within minutes of forming","Dense coastal fog can reduce visibility suddenly requiring reduced speed","Fog occurs only during the summer tourist season from June through August","Fog only forms in early morning hours and clears completely by mid-morning",B
WV-006,gdlLicensing,WV,"How many passengers can a West Virginia intermediate driver carry in first 6 months?","No passenger limits apply once the intermediate license has been officially issued","No more passengers than seat belts and only 1 under 20 for first 6 months","A maximum of 2 passengers of any age may ride regardless of available seating","Only immediate family members may ride as passengers during the entire first year",B
MO-016,cellPhone,MO,"What cities in Missouri have stricter cell phone laws?","No cities in Missouri have enacted cell phone laws stricter than state requirements","Many including St. Louis and Kansas City have hands-free requirements","Only the city of St. Louis has a hands-free ordinance beyond the state law","Only rural areas have stricter enforcement of the statewide texting ban",B
ND-034,stateUnique,ND,"What should North Dakota drivers know about winter driving?","Winters in North Dakota are relatively mild due to its central plains location","Severe winters with blizzards and extreme cold requiring preparation","Significant snowfall is rare and state highway crews clear roads very quickly","Tire chains are required by law on all vehicles from November through March",B
OH-030,insurance,OH,"What happens if you drive without insurance in Ohio?","First offense results in a written warning with no immediate financial penalty","License suspension registration suspension and reinstatement fees apply","Points are added to your driving record but no suspension occurs initially","A small fine under fifty dollars is typical for first-time offenders only",B
RI-034,stateUnique,RI,"What should Rhode Island drivers know about traffic congestion?","Traffic flows smoothly in Rhode Island due to the state's small geographic size","Small state with high density and congestion especially around Providence","Traffic is always light because most Rhode Island residents use public transit","Rush hour congestion does not occur because commute distances are very short",B
VA-037,stateUnique,VA,"What should Virginia drivers know about toll roads?","Virginia does not operate any toll roads and all highways are free statewide","Express lanes and toll roads are common especially in Northern Virginia","Toll roads in Virginia accept cash payment only at all plaza locations","Toll roads are free for Virginia residents who register their vehicles",B
