questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
PA-017,cellPhone,PA,"Does Pennsylvania add points for texting violations?","Points are added for all texting violations in state","No points are added for texting violations in state","3 points are added to record for texting violation","5 points are added to record for texting violation",B
TX-033,stateUnique,TX,"What is the maximum speed limit on Texas highways?","The maximum speed limit is 70 mph on Texas highways","75 to 85 mph depending on the specific road section","The maximum speed limit is 65 mph on Texas highways","The maximum speed limit is 80 mph on all highways",B
VA-001,gdlLicensing,VA,"At what age can a Virginia teen obtain a learner's permit?","A Virginia teen can obtain a permit at age 14","A teen can obtain a permit at 15 years 6 months","A Virginia teen can obtain a permit at age 16","A Virginia teen can obtain a permit at age 15",B
WI-001,gdlLicensing,WI,"At what age can a Wisconsin teen obtain a learner's permit?","A Wisconsin teen can obtain a permit at age 14","A teen can obtain a permit at 15 years 6 months","A Wisconsin teen can obtain a permit at age 16","A Wisconsin teen can obtain a permit at age 15",B
U-087,rulesOfRoad,ALL,"What must you do before backing up?","Check mirrors only before backing up your vehicle","Check mirrors and turn to look behind before backing","Honk horn to alert others before backing up","Flash brake lights to alert others before backing",B
U-117,safeDriving,ALL,"What is the best way to avoid aggressive drivers?","Engage with them to resolve the situation quickly","Avoid eye contact and give them plenty of space","Brake check them to show you are paying attention","Follow closely to show you will not be intimidated",B
U-144,specialSituations,ALL,"What should you do when driving on ice?","Use cruise control to maintain consistent speed","Brake gently and accelerate slowly on icy roads","Drive at normal speed on icy road conditions","Use the highest gear available when driving on ice",B
AL-008,gdlLicensing,AL,"What happens if you violate GDL restrictions in Alabama?","A written warning is issued for the first violation","License is revoked immediately for any violation","Restrictive period is extended by 6 months","Points are added to your driving record only",C
AL-010,gdlLicensing,AL,"What must Alabama drivers under 19 provide when applying for a license?","Only a birth certificate is required for application","Proof of school enrollment or graduation required","A letter from their employer is required to apply","Only proof of insurance is required for application",B
AL-018,cellPhone,AL,"Can you use GPS navigation on your phone while driving in Alabama?","No all phone use is prohibited while driving","Yes if using voice commands and hands-free mode","GPS use is only permitted if phone is mounted","Only printed maps are allowed for navigation",B
AK-025,duiStateLaws,AK,"What is an aggravated DUI in Alaska?","Any DUI with passengers in the vehicle at time","A DUI with a BAC of 0.15 percent or higher","A DUI committed while speeding over the limit","A second DUI offense within a certain period",B
AZ-022,duiStateLaws,AZ,"What is an Extreme DUI in Arizona?","Any DUI with passengers in the vehicle at time","A DUI with a BAC between 0.15 and 0.199 percent","A DUI committed while speeding over the limit","A second DUI offense within a certain period",B
