questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
NC-029,insurance,NC,"Must North Carolina drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
NC-036,stateUnique,NC,"Are right turns on red permitted in North Carolina?","Right turns on red are never permitted in North Carolina","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside city limits","Right turns on red are only permitted with a green arrow",B
ND-029,insurance,ND,"Must North Dakota drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
ND-036,stateUnique,ND,"Are right turns on red permitted in North Dakota?","Right turns on red are never permitted in North Dakota","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside city limits","Right turns on red are only permitted with a green arrow",B
OH-029,insurance,OH,"Must Ohio drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
OH-036,stateUnique,OH,"Are right turns on red permitted in Ohio?","Right turns on red are never permitted anywhere in Ohio","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside city limits","Right turns on red are only permitted with a green arrow",B
OK-029,insurance,OK,"Must Oklahoma drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
OK-036,stateUnique,OK,"Are right turns on red permitted in Oklahoma?","Right turns on red are never permitted in Oklahoma","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside city limits","Right turns on red are only permitted with a green arrow",B
OR-013,cellPhone,OR,"What is Oregon cell phone law for drivers under 18?","Hands-free devices are required for all drivers under 18","No mobile device use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned while calls remain legal for teens",B
OR-029,insurance,OR,"Must Oregon drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
PA-029,insurance,PA,"Must Pennsylvania drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
RI-029,insurance,RI,"Must Rhode Island drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
SC-029,insurance,SC,"Must South Carolina drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
SC-040,stateUnique,SC,"What is unique about South Carolina's points system?","South Carolina uses the same points system as most other states","12 points accumulated in 2 years results in license suspension","A 6 point threshold triggers license suspension in the state","South Carolina does not use a points system for violations",B
SD-029,insurance,SD,"Must South Dakota drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
SD-036,stateUnique,SD,"Are right turns on red permitted in South Dakota?","Right turns on red are never permitted in South Dakota","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside city limits","Right turns on red are only permitted with a green arrow",B
TN-012,gdlLicensing,TN,"Can Tennessee parents restrict their teen's driving beyond state requirements?","No only the state rules apply to teen driving restrictions","Yes by notifying the Department of Safety of restrictions","Parents can only add restrictions for the first 30 days","Parents can only add curfew restrictions beyond state rules",B
TN-029,insurance,TN,"Must Tennessee drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
TX-014,cellPhone,TX,"What is Texas cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Texting while driving is prohibited statewide for all","Hands-free devices are required for all Texas drivers","Cell phone restrictions only apply in school zones",B
TX-036,stateUnique,TX,"Are right turns on red permitted in Texas?","Right turns on red are never permitted anywhere in Texas","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside city limits","Right turns on red are only permitted with a green arrow",B
UT-029,insurance,UT,"Must Utah drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
VT-029,insurance,VT,"Must Vermont drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
VA-036,stateUnique,VA,"Are right turns on red permitted in Virginia?","Right turns on red are never permitted in Virginia","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside city limits","Right turns on red are only permitted with a green arrow",B
WA-029,insurance,WA,"Must Washington drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
WV-029,insurance,WV,"Must West Virginia drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
WI-009,gdlLicensing,WI,"Is driver education required in Wisconsin?","No driver education is completely optional in Wisconsin","Not required but provides permit at 15.5 instead of 16","Driver education is only required for permit holders under 16","Driver education is only required after traffic violations",B
WI-029,insurance,WI,"Must Wisconsin drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
WY-029,insurance,WY,"Must Wyoming drivers carry proof of insurance?","Proof of insurance is only required at vehicle registration","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
WY-036,stateUnique,WY,"Are right turns on red permitted in Wyoming?","Right turns on red are never permitted in Wyoming","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside city limits","Right turns on red are only permitted with a green arrow",B
AK-034,stateUnique,AK,"Does Alaska's DUI law apply to watercraft and aircraft?","No Alaska DUI law only applies to motor vehicles on roads","Yes implied consent applies to boats and planes as well","DUI law applies only to commercial vessels and aircraft","DUI law applies only in certain designated areas of Alaska",B
CT-036,stateUnique,CT,"What curfew exception exists for Connecticut teen drivers?","No exceptions to the curfew exist for Connecticut teens","School activities or religious activities are exceptions","Only work-related driving is an exception to the curfew","Dating activities are an exception to the teen curfew",B
DE-008,gdlLicensing,DE,"What are the nighttime driving rules during Level 1 Phase 2 in Delaware?","No nighttime driving is permitted during Level 1 Phase 2","Supervised 10pm-6am and unsupervised driving 6am-10pm","24-hour supervision is required during Level 1 Phase 2","A midnight to 5am restriction applies during Phase 2",B
DE-029,insurance,DE,"What PIP coverage is required in Delaware?","No PIP coverage is required in the state of Delaware","15000 per person and 30000 per accident PIP required","5000 per person PIP coverage is required in Delaware","50000 per accident PIP coverage is required in Delaware",B
GA-030,insurance,GA,"What happens if you drive without insurance in Georgia?","A written warning is issued for the first offense only","License and registration suspension plus fines may apply","A small fine is the only penalty for driving uninsured","Points are added to license but no suspension occurs",B
ID-006,gdlLicensing,ID,"What passenger restrictions apply to Idaho drivers under 17 during the first 6 months?","No passengers under 21 are permitted during the period","Maximum 1 passenger under 17 unless they are related","No passenger restrictions apply during the first 6 months","Only immediate family members may ride during the period",B
IL-030,insurance,IL,"What happens if you drive without insurance in Illinois?","A written warning is issued for the first offense only","License and registration suspension plus fines may apply","A small fine is the only penalty for driving uninsured","Community service is required but no suspension occurs",B
IN-034,stateUnique,IN,"What is unique about Indiana time zones?","The entire state of Indiana is in the Eastern time zone","Split between Eastern and Central time zones in Indiana","The entire state of Indiana is in the Central time zone","Indiana does not observe daylight saving time statewide",B
KS-029,insurance,KS,"Must Kansas drivers carry proof of insurance?","Proof of insurance is only required when registering","Yes at all times while operating a motor vehicle","Proof of insurance is only required for newly purchased cars","Proof of insurance is only required after accidents occur",B
KY-017,cellPhone,KY,"Does Kentucky ban apply to reading texts?","No the ban only applies to sending text messages","Yes both reading and writing texts are prohibited","Reading texts is only banned at red lights in Kentucky","Reading texts is only banned while the vehicle is moving",B
MI-024,duiStateLaws,MI,"What happens if you refuse a BAC test in Michigan?","A written warning is issued with no immediate consequences","1 year license suspension and 6 points on driving record","A 30-day administrative suspension is applied for refusal","Refusal is treated the same as passing the test",B
MI-036,stateUnique,MI,"Are right turns on red permitted in Michigan?","Right turns on red are never permitted in Michigan","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Detroit","Right turns on red are only permitted with a green arrow",B
MS-036,stateUnique,MS,"Are right turns on red permitted in Mississippi?","Right turns on red are never permitted in Mississippi","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Jackson","Right turns on red are only permitted with a green arrow",B
MT-017,cellPhone,MT,"Does Montana texting ban apply to stopped vehicles?","No the ban only applies while the vehicle is moving","Yes the ban applies any time the vehicle is on road","The ban only applies at intersections in Montana","The ban only applies while in active traffic flow",B
NH-038,stateUnique,NH,"What is unique about New Hampshire's motto regarding driving?","The motto has no special meaning for driving in the state","Live Free or Die but all driving laws still apply","New Hampshire has no seat belt requirement for adults","New Hampshire has no motorcycle helmet law for adults",B
ND-017,cellPhone,ND,"Does North Dakota have local areas with stricter phone laws?","No the state law is uniform throughout North Dakota","Yes some cities have enacted additional restrictions","Only the city of Fargo has stricter cell phone laws","Only the city of Bismarck has stricter cell phone laws",B
OH-008,gdlLicensing,OH,"Who must supervise an Ohio permit holder?","Any driver with a valid license may supervise in Ohio","Licensed parent guardian or certified instructor required","A licensed driver 21 or older must supervise in Ohio","Any adult over the age of 18 may supervise in Ohio",B
OK-012,gdlLicensing,OK,"What must Oklahoma parents sign for their teen to get a license?","Nothing is required to be signed by Oklahoma parents","Parental consent and responsibility form must be signed","An insurance waiver must be signed by Oklahoma parents","A school verification form must be signed by parents",B
OK-026,duiStateLaws,OK,"What is required for Oklahoma DUI offenders?","Nothing special is required beyond payment of fines","Ignition interlock device is required for all offenders","Only community service is required for DUI offenders","Only fines are required with no additional requirements",B
OR-012,gdlLicensing,OR,"What driving log must Oregon teens maintain?","No driving log is required to be maintained in Oregon","Supervised driving log certified by parent is required","Only instructor hours must be logged by Oregon teens","A 50-hour log is required but no certification needed",B
OR-026,duiStateLaws,OR,"What is required for Oregon DUII offenders?","Nothing special is required beyond payment of fines","Ignition interlock device is required for all offenders","Only community service is required for DUII offenders","Only fines are required with no additional requirements",B
TN-006,gdlLicensing,TN,"How many passengers can a Tennessee intermediate driver carry?","No passenger limits apply once the intermediate license is issued","1 passenger for first year unless they are family members","A maximum of 2 passengers of any age may ride during period","Only immediate family members may ride for the entire period",B
TX-026,duiStateLaws,TX,"When does DWI become a felony in Texas?","DWI becomes a felony starting with the second offense","DWI becomes a felony starting with the third offense","First offense with child in vehicle is a felony DWI","DWI becomes a felony starting with the fourth offense",C
VA-009,gdlLicensing,VA,"Is driver education required in Virginia?","No driver education is completely optional in Virginia","Yes classroom and behind-the-wheel training required","Only the classroom portion of driver education required","Driver education is only required for those under age 17",B
WA-036,stateUnique,WA,"Are right turns on red permitted in Washington?","Right turns on red are never permitted in Washington","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Seattle","Right turns on red are only permitted with a green arrow",B
U-116,safeDriving,ALL,"When should you use cruise control?","On highways in good weather and traffic conditions","Cruise control should be used in heavy traffic","Cruise control should be used in rainy conditions","Cruise control should be used on curves and hills",A
AZ-017,cellPhone,AZ,"Is Arizona's hands-free law a primary enforcement offense?","No it is a secondary offense requiring another violation","Yes officers can pull you over for this violation alone","Primary enforcement only applies in certain Arizona cities","Primary enforcement only applies for repeat offenders",B
CA-006,gdlLicensing,CA,"What passenger restrictions apply to provisional license holders in California?","No passengers under 18 are permitted during the period","No passengers under 20 for the first 12 months of license","No passengers under 21 are permitted during the period","Only one passenger of any age is permitted in vehicle",B
CA-013,cellPhone,CA,"Can drivers under 18 use a hands-free phone while driving in California?","Yes hands-free phone use is permitted for all drivers","No all phone use is banned for drivers under 18 except 911","Yes with Bluetooth devices only for drivers under 18","Phone use is only permitted for GPS navigation purposes",B
CA-030,insurance,CA,"What does liability insurance protect against in California?","Liability insurance protects against your own vehicle damage","Claims from others if you cause an accident are covered","Liability insurance protects against theft and vandalism","Liability insurance covers your own medical bills only",B
CO-025,duiStateLaws,CO,"What is express consent in Colorado?","Express consent means you can refuse all testing requests","By driving you consent to BAC testing if lawfully arrested","Express consent means you agree to vehicle searches","Express consent means you must carry liability insurance",B
CO-030,insurance,CO,"What does liability insurance protect against in Colorado?","Liability insurance protects against your own vehicle damage","Claims from others if you cause an accident are covered","Liability insurance protects against theft and vandalism","Liability insurance covers your own medical bills only",B
CT-030,insurance,CT,"What does liability insurance protect against in Connecticut?","Liability insurance protects against your own vehicle damage","Claims from others if you cause an accident are covered","Liability insurance protects against theft and vandalism","Liability insurance covers your own medical bills only",B
CT-031,stateUnique,CT,"What must you do when approaching a stopped emergency vehicle in Connecticut?","Slow down only when approaching stopped emergency vehicles","Move over to another lane or slow down significantly","Stop completely when approaching stopped emergency vehicles","Flash your headlights when approaching emergency vehicles",B
DE-007,gdlLicensing,DE,"What passenger restrictions apply during mandatory supervision in Delaware?","No passengers are permitted during mandatory supervision","Only 1 non-family passenger plus the supervisor allowed","Two passengers under 21 are permitted during supervision","Unlimited family members are permitted during supervision",B
DE-030,insurance,DE,"What does liability insurance protect against in Delaware?","Liability insurance protects against your own vehicle damage","Claims from others if you cause an accident are covered","Liability insurance protects against theft and vandalism","Liability insurance covers your own medical bills only",B
DE-031,stateUnique,DE,"What must you do when approaching a stopped emergency vehicle in Delaware?","Slow down only when approaching stopped emergency vehicles","Move over to another lane or slow down significantly","Stop completely when approaching stopped emergency vehicles","Flash your headlights when approaching emergency vehicles",B
HI-004,gdlLicensing,HI,"What passenger restrictions apply during the first 6 months of a Hawaii provisional license?","No passengers under 18 are permitted during the period","Maximum 1 passenger under 18 unless they are family","No passenger restrictions apply during the first 6 months","Only adult passengers over 21 are permitted in vehicle",B
IL-007,gdlLicensing,IL,"What are the weeknight curfew hours for Illinois teen drivers?","Curfew is from 9pm to 5am on weeknights for teen drivers","10pm to 6am Sunday through Thursday for teen drivers","Curfew is from 11pm to 6am on weeknights for teen drivers","Curfew is from midnight to 5am on weeknights for teens",B
LA-022,duiStateLaws,LA,"What happens if you refuse a BAC test in Louisiana?","A written warning is issued with no immediate consequences","License suspension for 1 year minimum for test refusal","A 30-day administrative suspension is applied for refusal","Refusal is treated the same as passing the test",B
ME-036,stateUnique,ME,"Are right turns on red permitted in Maine?","Right turns on red are never permitted anywhere in Maine","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Portland","Right turns on red are only permitted with a green arrow",B
MD-014,cellPhone,MD,"What is Maryland cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phones are banned for all drivers in Maryland","Only texting is banned for Maryland drivers statewide","Cell phone restrictions only apply in active work zones",B
MN-010,gdlLicensing,MN,"Is driver education required in Minnesota?","No driver education is completely optional in Minnesota","Yes classroom and behind-the-wheel training are required","Only the classroom portion of driver education required","Driver education is only required for those under age 18",B
MS-005,gdlLicensing,MS,"What are the nighttime restrictions for Mississippi intermediate license holders?","Curfew is from 10pm to 5am for intermediate license holders","10pm to 6am Sunday through Thursday for license holders","Curfew is from midnight to 5am for intermediate holders","Curfew is from 11pm to 6am for intermediate license holders",B
NV-014,cellPhone,NV,"What is Nevada cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phones are banned for all drivers in Nevada","Only texting is banned for Nevada drivers statewide","Cell phone restrictions only apply in active work zones",B
NJ-022,duiStateLaws,NJ,"What happens if you refuse a BAC test in New Jersey?","A written warning is issued with no immediate consequences","Same penalties as if convicted of DWI apply to refusal","A 90-day administrative suspension is applied for refusal","Reduced penalties apply when you refuse a BAC test",B
NM-006,gdlLicensing,NM,"How many passengers can a New Mexico provisional driver carry in first year?","No passenger limits apply once the provisional license is issued","1 passenger under 21 for the first 6 months of driving","A maximum of 2 passengers of any age may ride during period","Only immediate family members may ride for the entire period",B
OR-036,stateUnique,OR,"Are right turns on red permitted in Oregon?","Right turns on red are never permitted anywhere in Oregon","Yes after complete stop unless signs prohibit the turn","Right turns on red are only permitted outside Portland","Right turns on red are only permitted with a green arrow",B
RI-017,cellPhone,RI,"Does Rhode Island add points for cell phone violations?","No points are added to record for cell phone violations","No points but fines increase for subsequent violations","3 points are added to record for cell phone violations","5 points are added to record for cell phone violations",B
RI-018,cellPhone,RI,"Can Rhode Island drivers use phones while stopped in traffic?","Yes phone use is permitted when the vehicle is stopped","No handheld phone use even when stopped in traffic","Phone use is only permitted at red lights in Rhode Island","Phone use is only permitted for emergency calls when stopped",B
TX-038,stateUnique,TX,"What should Texas drivers know about the left lane?","The left lane is open to all traffic at all times","Left lane is designated for passing only on highways","The left lane is only for commercial trucks in Texas","Left lane restrictions only apply during rush hour",B
VA-011,gdlLicensing,VA,"What must Virginia teens complete before road testing?","Nothing additional is required beyond permit requirements","Driver education and 45 hours of practice are required","Only passing the written knowledge test is required","Only passing the vision screening test is required",B
WA-011,gdlLicensing,WA,"What must Washington teens complete before road testing?","Nothing additional is required beyond permit requirements","Driver education and 50 hours of practice are required","Only passing the written knowledge test is required","Only passing the vision screening test is required",B
WA-016,cellPhone,WA,"What are the penalties for cell phone violations in Washington?","Violations result in a flat 25 dollar fine for all offenses","136 dollars for first offense then increasing for subsequent","Violations result in a flat 50 dollar fine for all offenses","First offense results in a written warning with no fine",B
U-055,rulesOfRoad,ALL,"When can you pass a school bus with flashing red lights?","When going opposite direction on a divided highway only","When the bus driver waves you to pass the stopped bus","When no children are visible near the stopped school bus","You can never pass a school bus with flashing red lights",A
U-089,rulesOfRoad,ALL,"When must you dim your high beams?","Within 500 feet of oncoming traffic or vehicle ahead","Within 1000 feet of any oncoming traffic on the road","Only in city limits when approaching oncoming traffic","Only when the other driver flashes their lights at you",A
U-110,safeDriving,ALL,"What should you do before changing lanes?","Check mirrors only before changing lanes on the highway","Signal then check mirrors and blind spots before changing","Just signal before changing lanes on the highway","Check blind spots only before changing lanes on highway",B
AK-038,stateUnique,AK,"How many points result in license suspension in Alaska?","8 points in 12 months results in license suspension","10 points in 12 months results in license suspension","12 points in 12 months or 18 points in 24 months","15 points in any time period results in suspension",C
AZ-038,stateUnique,AZ,"What happens if you are caught driving on a suspended license due to DUI in Arizona?","A fine is the only penalty for driving while suspended","Aggravated DUI felony charges may be filed against you","A written warning is issued for first offense only","Points are added to record but no criminal charges",B
FL-012,gdlLicensing,FL,"Does Florida law mandate passenger restrictions for teen drivers?","Yes strict passenger limits are mandated by Florida law","No but AAA recommends limiting teen driver passengers","Passenger restrictions only apply in first 6 months","Passenger restrictions only apply during nighttime hours",B
IN-010,gdlLicensing,IN,"Who can be passengers for Indiana drivers during the first 180 days?","Anyone with a seatbelt may be a passenger in the vehicle","Only family spouse or adult 25 or older may be passengers","One friend under 18 may be a passenger in the vehicle","No passenger restrictions apply during the first 180 days",B
IN-013,cellPhone,IN,"What is Indiana's cell phone law for drivers under 21?","Hands-free devices are required for drivers under 21","No cell phone use at all is permitted except for 911","Same rules as adult drivers apply to drivers under 21","Only texting is banned for Indiana drivers under 21",B
KS-017,cellPhone,KS,"What is the penalty for teen cell phone violations in Kansas?","A written warning is issued with no fine for first offense","Fine and possible license suspension for teen violations","Points are added to record but no suspension occurs","Community service is required for teen phone violations",B
KY-018,cellPhone,KY,"What exception exists for Kentucky cell phone laws?","No exceptions exist for Kentucky cell phone driving laws","GPS and navigation use is a permitted exception to law","Only phone calls are permitted under Kentucky law","Only emergency calls are permitted under Kentucky law",B
KY-026,duiStateLaws,KY,"What treatment may Kentucky courts require for DUI?","No treatment programs are required for DUI offenders","Alcohol or substance abuse treatment program may be required","Treatment programs are only required for repeat offenders","Only community service is required for DUI offenders",B
LA-013,cellPhone,LA,"What is Louisiana cell phone law for drivers under 18?","Hands-free devices are required for drivers under 18","No cell phone use at all is permitted while driving","Same rules as adult drivers apply to drivers under 18","Only texting is banned for Louisiana drivers under 18",B
LA-035,stateUnique,LA,"What is Louisiana law regarding school buses?","Drivers must stop only when traveling on same side as bus","Stop in both directions on two-lane roads for buses","Drivers should slow to 20 mph but stopping not required","Stop only when the bus driver activates hand signals",B
ME-007,gdlLicensing,ME,"After 3 months how many passengers can Maine intermediate drivers carry?","No passenger limits apply after the initial 3 months","1 non-family passenger under 21 may ride after 3 months","A maximum of 2 passengers of any age may ride after 3 months","A maximum of 3 passengers of any age may ride after 3 months",B
