questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
KY-006,gdlLicensing,KY,"How many passengers can a Kentucky intermediate license holder carry?","No passenger limits apply once the intermediate license has been officially issued","1 unrelated passenger under 20 for first 6 months of driving","A maximum of 2 passengers of any age may ride during the intermediate period","Only immediate family members may ride as passengers during the first year",B
LA-006,gdlLicensing,LA,"How many passengers can a Louisiana intermediate license holder carry?","No passenger limits apply once the intermediate license has been officially issued","1 passenger under 21 for first year unless they are family members","A maximum of 2 passengers of any age may ride during the intermediate period","Only immediate family members may ride as passengers during the first year",B
MD-034,stateUnique,MD,"What should Maryland drivers know about the Baltimore-Washington area?","Standard driving conditions apply similar to other mid-sized metropolitan areas","Heavy congestion and aggressive driving requiring extra patience from drivers","No special driving concerns exist in the Baltimore-Washington corridor area","Lower speed limits are the only difference from other parts of the state",B
MI-008,gdlLicensing,MI,"Who must supervise a Michigan permit holder?","Any driver with a valid license regardless of age or experience may supervise","Licensed parent guardian or designated adult 21 or older must supervise","Only a parent may supervise regardless of the parent's license status","Any adult over the age of 18 with a valid license may supervise",B
MS-024,duiStateLaws,MS,"What is Mississippi implied consent law?","Implied consent refers to consenting to vehicle searches during traffic stops","Operating a vehicle constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests during traffic stops","Implied consent applies only to blood tests and not breath testing",B
MT-024,duiStateLaws,MT,"What is Montana implied consent law?","Implied consent refers to consenting to vehicle searches during traffic stops","Operating a vehicle constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests during traffic stops","Implied consent applies only to blood tests and not breath testing",B
NE-024,duiStateLaws,NE,"What is Nebraska implied consent law?","Implied consent refers to consenting to vehicle searches during traffic stops","Operating a vehicle constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests during traffic stops","Implied consent applies only to blood tests and not breath testing",B
NV-024,duiStateLaws,NV,"What is Nevada implied consent law?","Implied consent refers to consenting to vehicle searches during traffic stops","Operating a vehicle constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests during traffic stops","Implied consent applies only to blood tests and not breath testing",B
NM-024,duiStateLaws,NM,"What is New Mexico implied consent law?","Implied consent refers to consenting to vehicle searches during traffic stops","Operating a vehicle constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests during traffic stops","Implied consent applies only to blood tests and not breath testing",B
NM-034,stateUnique,NM,"What should New Mexico drivers know about dust storms?","Dust storms do not occur in New Mexico due to the mountain terrain patterns","Pull off road turn off lights and wait during dust storms for safety","Drive through dust storms slowly while keeping your headlights on high","Dust storms only occur in remote desert areas far from major highways",B
NC-006,gdlLicensing,NC,"How many passengers can a North Carolina limited provisional driver carry?","No passenger limits apply once the provisional license has been officially issued","1 passenger under 21 unless family or traveling for work or school","A maximum of 2 passengers of any age may ride during the provisional period","Only immediate family members may ride as passengers during the first year",B
ND-012,gdlLicensing,ND,"What is unique about North Dakota permit age?","North Dakota permit age requirements are the same as most other US states","One of the youngest at 14 reflecting the state's rural driving needs","North Dakota has the oldest permit age requirement in the entire nation","North Dakota has no minimum age requirement for obtaining a permit",B
ND-024,duiStateLaws,ND,"What is North Dakota implied consent law?","Implied consent refers to consenting to vehicle searches during traffic stops","Operating a vehicle constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests during traffic stops","Implied consent applies only to blood tests and not breath testing",B
OK-024,duiStateLaws,OK,"What is Oklahoma implied consent law?","Implied consent refers to consenting to vehicle searches during traffic stops","Operating a vehicle constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests during traffic stops","Implied consent applies only to blood tests and not breath testing",B
RI-038,stateUnique,RI,"What should Rhode Island drivers know about coastal driving?","Rhode Island does not have any significant coastal roads for driving","Coastal areas may have fog and heavy tourist traffic in summer","Coastal roads in Rhode Island are always clear with no special concerns","No special rules or considerations apply to coastal driving in the state",B
SC-035,stateUnique,SC,"What is South Carolina law regarding school buses?","Drivers must stop only when traveling on the same side as the stopped bus","Stop in both directions unless divided by a median or physical barrier","Drivers should slow to 25 mph but stopping is not required in most cases","Stop only when the bus driver activates hand signals directed at you",B
SD-040,stateUnique,SD,"What should South Dakota drivers know about open range?","Open range laws are not applicable in South Dakota and all land is fenced","Livestock may be on unfenced roads and drivers must yield to animals","Open range applies only on private ranch land away from public highways","All public roads in South Dakota are fenced to keep livestock off roads",B
UT-037,stateUnique,UT,"What should Utah drivers know about wildlife?","Wildlife is not a significant driving concern on Utah highways and roads","Deer and elk are common road hazards especially in canyon areas","Wildlife is only present within designated national park boundary areas","Marked wildlife crossing zones alert drivers to all potential animal areas",B
UT-040,stateUnique,UT,"What is unique about Utah Express Lanes?","Express lanes do not exist anywhere on Utah highways at this time","HOV and express toll lanes are available on major Utah highways","Express lanes in Utah are completely free for all vehicles at all times","Express lanes in Utah are only available for commercial trucks",B
VT-024,duiStateLaws,VT,"What is Vermont implied consent law?","Implied consent refers to consenting to vehicle searches during traffic stops","Operating a vehicle constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests during traffic stops","Implied consent applies only to blood tests and not breath testing",B
VA-008,gdlLicensing,VA,"Who must supervise a Virginia permit holder?","Any driver with a valid license regardless of age or experience may supervise","Licensed driver 21 or older or family member 18 or older must supervise","Only a parent may supervise regardless of the parent's license status","Any adult over the age of 18 with a valid license may supervise",B
VA-035,stateUnique,VA,"What is Virginia law regarding school buses?","Drivers must stop only when traveling on the same side as the stopped bus","Stop in both directions unless divided by a physical barrier or median","Drivers should slow to 25 mph but stopping is not required in most cases","Stop only when the bus driver activates hand signals directed at you",B
WI-008,gdlLicensing,WI,"Who must supervise a Wisconsin permit holder?","Any driver with a valid license regardless of age or experience may supervise","Licensed driver 21 or older or licensed spouse or parent must supervise","Only a parent may supervise regardless of the parent's license status","Any adult over the age of 18 with a valid license may supervise",B
ME-035,stateUnique,ME,"What is Maine law regarding school buses?","Drivers must stop only when traveling on the same side as the stopped bus","Stop in both directions unless divided by a physical barrier structure","Drivers should slow to 20 mph but stopping is not required in most cases","Stop only when the bus driver activates hand signals directed at you",B
MN-030,insurance,MN,"What happens if you drive without insurance in Minnesota?","First offense results in a written warning with no immediate consequences","License revocation and vehicle plate impoundment may be imposed","Points are added to your record but no suspension occurs for first offense","A small fine is typical for first-time offenders with no other penalties",B
