questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
KY-024,duiStateLaws,KY,"What is Kentucky implied consent law?","Implied consent refers to consenting to vehicle searches during stops","Driving constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests during stops","Implied consent applies only to blood tests and not breath testing",B
KY-028,insurance,KY,"What is unique about Kentucky insurance?","Kentucky uses standard at-fault insurance only like most states","Drivers can opt out of no-fault coverage and choose to sue","No minimum insurance coverage is required in the state of Kentucky","The state of Kentucky provides auto insurance directly to drivers",B
LA-024,duiStateLaws,LA,"What is Louisiana implied consent law?","Implied consent refers to consenting to vehicle searches during stops","Driving constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests during stops","Implied consent applies only to blood tests and not breath testing",B
ME-013,cellPhone,ME,"What is Maine cell phone law for drivers under 18?","Hands-free devices are required for all drivers under age 18","No cell phone use is permitted while the vehicle is in motion","Same rules as adult drivers apply to drivers under age 18","Only texting is banned while calls remain legal for teen drivers",B
ME-038,stateUnique,ME,"What is Maine Turnpike?","The Maine Turnpike is a regular highway with no toll requirements","Toll road requiring cash payment or E-ZPass for travel","The Maine Turnpike is free for all Maine residents with plates","The Maine Turnpike is only for commercial truck traffic",B
MD-013,cellPhone,MD,"What is Maryland cell phone law for drivers under 18?","Hands-free devices are required for all drivers under age 18","No cell phone use is permitted while the vehicle is in motion","Same rules as adult drivers apply to drivers under age 18","Only texting is banned while calls remain legal for teen drivers",B
MA-016,cellPhone,MA,"What are the penalties for cell phone violations in Massachusetts?","Violations result in a flat 25 dollar fine for all offenses","100 dollars first offense then 250 second then 500 third","Violations result in a flat 50 dollar fine for all offenses","First offense results in a written warning with no fine",B
MI-014,cellPhone,MI,"What is Michigan cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Texting and other manual use of phone is banned for all","Hands-free devices are required for all drivers in Michigan","A complete ban on all phone use applies to all drivers",B
MN-006,gdlLicensing,MN,"How many passengers can a Minnesota provisional driver carry in the first 6 months?","No passenger limits apply once the provisional license is issued","1 passenger under 20 unless they are immediate family members","A maximum of 2 passengers of any age may ride during period","Only immediate family members may ride for the entire period",B
NE-006,gdlLicensing,NE,"How many passengers can a Nebraska POP holder carry in the first 6 months?","No passenger limits apply once the POP license has been issued","1 passenger under 19 unless they are immediate family members","A maximum of 2 passengers of any age may ride during period","Only immediate family members may ride for the entire period",B
