questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
PA-022,duiStateLaws,PA,"What happens if you refuse a BAC test in Pennsylvania?","A written warning is issued for refusing the test","12-month license suspension for refusing test","A 90-day administrative suspension is applied","Refusal is treated the same as passing the test",B
RI-028,insurance,RI,"Does Rhode Island require liability insurance?","No insurance is optional in Rhode Island","Yes liability insurance is mandatory in state","Liability insurance only required for new vehicles","Liability insurance only required for financed cars",B
SC-026,duiStateLaws,SC,"What BAC level triggers enhanced penalties in South Carolina?","BAC of 0.10 percent triggers enhanced penalties","BAC of 0.15 percent or higher triggers enhanced","BAC of 0.12 percent triggers enhanced penalties","BAC of 0.20 percent triggers enhanced penalties",B
SC-028,insurance,SC,"Does South Carolina require liability insurance?","No insurance is optional in South Carolina","Yes liability insurance is mandatory in state","Liability insurance only required for new vehicles","Liability insurance only required for financed cars",B
SD-028,insurance,SD,"Does South Dakota require liability insurance?","No insurance is optional in South Dakota","Yes liability insurance is mandatory in state","Liability insurance only required for new vehicles","Liability insurance only required for financed cars",B
TN-028,insurance,TN,"Does Tennessee require liability insurance?","No insurance is optional in Tennessee for drivers","Yes liability insurance is mandatory in Tennessee","Liability insurance only required for new vehicles","Liability insurance only required for financed cars",B
TX-028,insurance,TX,"Does Texas require liability insurance?","No insurance is optional in Texas for all drivers","Yes liability insurance is mandatory in Texas","Liability insurance only required for new vehicles","Liability insurance only required for financed cars",B
UT-023,duiStateLaws,UT,"What happens if you refuse a BAC test in Utah?","A written warning is issued for refusing the test","18-month license suspension for refusing test","A 90-day administrative suspension is applied","Refusal is treated the same as passing the test",B
VT-011,gdlLicensing,VT,"What unique driving experience does Vermont require?","Nothing special is required beyond standard hours","10 hours of driving in adverse weather conditions","Only night driving hours are specifically required","Only highway driving hours are specifically required",B
VT-028,insurance,VT,"Does Vermont require liability insurance?","No insurance is optional in Vermont for drivers","Yes liability insurance is mandatory in Vermont","Liability insurance only required for new vehicles","Liability insurance only required for financed cars",B
VA-026,duiStateLaws,VA,"What BAC level triggers enhanced penalties in Virginia?","BAC of 0.10 percent triggers enhanced penalties","BAC of 0.15 percent or higher triggers enhanced","BAC of 0.12 percent triggers enhanced penalties","BAC of 0.20 percent triggers enhanced penalties",B
WA-028,insurance,WA,"Does Washington require liability insurance?","No insurance is optional in Washington for drivers","Yes liability insurance is mandatory in Washington","Liability insurance only required for new vehicles","Liability insurance only required for financed cars",B
WV-026,duiStateLaws,WV,"What BAC level triggers enhanced penalties in West Virginia?","BAC of 0.10 percent triggers enhanced penalties","BAC of 0.15 percent or higher triggers enhanced","BAC of 0.12 percent triggers enhanced penalties","BAC of 0.20 percent triggers enhanced penalties",B
WV-028,insurance,WV,"Does West Virginia require liability insurance?","No insurance is optional in West Virginia","Yes liability insurance is mandatory in state","Liability insurance only required for new vehicles","Liability insurance only required for financed cars",B
WI-028,insurance,WI,"Does Wisconsin require liability insurance?","No insurance is optional in Wisconsin for drivers","Yes liability insurance is mandatory in Wisconsin","Liability insurance only required for new vehicles","Liability insurance only required for financed cars",B
WY-028,insurance,WY,"Does Wyoming require liability insurance?","No insurance is optional in Wyoming for drivers","Yes liability insurance is mandatory in Wyoming","Liability insurance only required for new vehicles","Liability insurance only required for financed cars",B
U-030,roadSigns,ALL,"What does a yield sign require you to do?","A yield sign requires you to stop completely","Slow down and give right-of-way to other traffic","A yield sign requires you to merge immediately","A yield sign requires you to change lanes",B
U-042,roadSigns,ALL,"What does a stop ahead sign look like?","A stop ahead sign is a red octagon shape","A stop ahead sign is a white rectangle shape","A stop ahead sign is a red circle shape","Yellow diamond shape with the word STOP on it",D
U-047,roadSigns,ALL,"What does a detour sign indicate?","An alternate route is required to reach destination","A detour sign indicates a scenic route option","A detour sign indicates an optional bypass route","A detour sign indicates a rest area route ahead",A
U-070,rulesOfRoad,ALL,"What must you do when approaching a roundabout?","You must stop completely before entering circle","Yield to traffic already in the traffic circle","Speed up to merge with traffic in the circle","Signal right before entering the roundabout",B
U-090,rulesOfRoad,ALL,"What should you do at a blinking red traffic signal?","Slow down and proceed through the intersection","Stop completely and treat it as a stop sign","Yield to cross traffic then proceed through","Wait for the signal to turn green before going",B
U-148,alcoholDUI,ALL,"What is the BAC limit for drivers under 21?","The BAC limit for under 21 is 0.08 percent","The BAC limit for under 21 is 0.05 percent","The BAC limit is 0.02 percent or lower","The BAC limit for under 21 is 0.00 percent",C
U-149,alcoholDUI,ALL,"What does implied consent mean?","Implied consent means you have right to refuse","Agreeing to BAC testing by operating a vehicle","Implied consent means automatic guilty plea","Implied consent means consent to vehicle search",B
AK-017,cellPhone,AK,"What happens if texting while driving causes an injury in Alaska?","Same penalty as regular texting violation applies","Class C felony charge with up to 5 years prison","Only civil liability applies for causing injury","License suspension is the only penalty applied",B
AK-026,duiStateLaws,AK,"What device is required after a DUI conviction in Alaska?","A GPS tracker device is required after conviction","Ignition interlock device is required after DUI","A dashboard camera is required after conviction","A speed limiter device is required after DUI",B
AK-036,stateUnique,AK,"What should you do if involved in an accident with injuries in Alaska?","Leave the scene immediately to get help elsewhere","Stop remain at the scene and call for emergency help","Move all vehicles first before calling for help","Wait for the other driver to call for help",B
AR-016,cellPhone,AR,"Can drivers 21 and older talk on a handheld phone while driving in Arkansas?","Yes except in school zones and active work zones","No hands-free devices are required statewide","Yes handheld phone use is permitted anywhere","Handheld phone use is only permitted on highways",A
DE-027,insurance,DE,"What type of insurance state is Delaware?","Delaware is a no-fault insurance state only","Delaware is an at-fault insurance state only","Hybrid system with PIP coverage required in state","Delaware uses a choice no-fault insurance system",C
IL-017,cellPhone,IL,"What are the penalties for repeated cell phone violations in Illinois?","The same fine applies for each violation offense","Increasing fines from 75 to 150 dollars for repeat","License suspension applies after first violation","Vehicle impoundment applies for repeat violations",B
IN-029,insurance,IN,"Must Indiana drivers carry proof of insurance?","Proof is only required when registering vehicle","Yes at all times while operating the vehicle","Proof is only required for new drivers in state","Proof is only required after an accident occurs",B
IA-029,insurance,IA,"Must Iowa drivers carry proof of insurance?","Proof is only required when registering vehicle","Yes at all times while operating the vehicle","Proof is only required for new drivers in state","Proof is only required after an accident occurs",B
KS-012,gdlLicensing,KS,"Can Kansas parents withdraw consent for their teen's license?","No only courts can withdraw consent for license","Yes at any time before the teen reaches age 18","Consent can only be withdrawn for violations","Withdrawal requires 30 days advance notice",B
KY-012,gdlLicensing,KY,"What passenger limit applies after 6 months with Kentucky intermediate license?","No passenger limit applies after 6 months","3 unrelated passengers under 20 permitted after","A maximum of 2 passengers applies after 6 months","Same restrictions as first 6 months continue",B
ME-023,duiStateLaws,ME,"What happens if you refuse a BAC test in Maine?","A written warning is issued for refusing the test","275-day license suspension for refusing test","A 30-day administrative suspension is applied","Refusal is treated the same as passing the test",B
MD-023,duiStateLaws,MD,"What happens if you refuse a BAC test in Maryland?","A written warning is issued for refusing the test","270-day license suspension for refusing test","A 30-day administrative suspension is applied","Refusal is treated the same as passing the test",B
MT-022,duiStateLaws,MT,"What happens if you refuse a BAC test in Montana?","A written warning is issued for refusing the test","6-month license suspension for refusing test","A 30-day administrative suspension is applied","Refusal is treated the same as passing the test",B
NH-022,duiStateLaws,NH,"What happens if you refuse a BAC test in New Hampshire?","A written warning is issued for refusing the test","180-day license suspension for refusing test","A 30-day administrative suspension is applied","Refusal is treated the same as passing the test",B
NM-026,duiStateLaws,NM,"When does DWI become a felony in New Mexico?","DWI becomes a felony starting with second offense","DWI becomes a felony starting with third offense","DWI becomes a felony starting with fourth offense","Eighth lifetime offense becomes a felony DWI",D
NC-012,gdlLicensing,NC,"How does driver education affect North Carolina permit requirements?","Driver education has no effect on permit requirements","Driver education can reduce the permit holding time","Driver education waives supervised practice hours","Driver education waives the road test requirement",B
OK-022,duiStateLaws,OK,"What happens if you refuse a BAC test in Oklahoma?","A written warning is issued for refusing the test","180-day license revocation for refusing test","A 90-day administrative suspension is applied","Refusal is treated the same as passing the test",B
PA-027,insurance,PA,"Is Pennsylvania an at-fault or no-fault insurance state?","Pennsylvania is an at-fault insurance state only","Pennsylvania uses a choice no-fault system","Pennsylvania is a pure no-fault insurance state","Pennsylvania uses a hybrid insurance system",B
SC-022,duiStateLaws,SC,"What happens if you refuse a BAC test in South Carolina?","A written warning is issued for refusing the test","6-month license suspension for refusing test","A 30-day administrative suspension is applied","Refusal is treated the same as passing the test",B
TX-021,duiStateLaws,TX,"What is Texas zero tolerance BAC limit for drivers under 21?","Zero tolerance means 0.00 percent BAC limit","Any detectable amount of alcohol is prohibited","Zero tolerance means 0.02 percent BAC limit","Zero tolerance means 0.05 percent BAC limit",B
TX-023,duiStateLaws,TX,"What happens if you refuse a BAC test in Texas?","A written warning is issued for refusing the test","180-day license suspension for refusing test","A 30-day administrative suspension is applied","Refusal is treated the same as passing the test",B
VT-022,duiStateLaws,VT,"What happens if you refuse a BAC test in Vermont?","A written warning is issued for refusing the test","6-month license suspension for refusing test","A 90-day administrative suspension is applied","Refusal is treated the same as passing the test",B
WY-023,duiStateLaws,WY,"What happens if you refuse a BAC test in Wyoming?","A written warning is issued for refusing the test","6-month license suspension for refusing test","A 90-day administrative suspension is applied","Refusal is treated the same as passing the test",B
